,unit,ts,qty
0,e527dedfec712d75834a2eacb23e51fc,2021-03-08,38.937687681997424
1,e527dedfec712d75834a2eacb23e51fc,2021-03-15,0.0
2,e527dedfec712d75834a2eacb23e51fc,2021-03-22,0.0
3,e527dedfec712d75834a2eacb23e51fc,2021-03-29,0.38328683707197175
4,e527dedfec712d75834a2eacb23e51fc,2021-04-05,0.0
5,e527dedfec712d75834a2eacb23e51fc,2021-04-12,0.3318572780656659
6,e527dedfec712d75834a2eacb23e51fc,2021-04-19,0.31610088993719554
7,e527dedfec712d75834a2eacb23e51fc,2021-04-26,18.705480305783265
8,e527dedfec712d75834a2eacb23e51fc,2021-05-03,56.76685761908445
9,e527dedfec712d75834a2eacb23e51fc,2021-05-10,1.6470032782905883
10,e527dedfec712d75834a2eacb23e51fc,2021-05-17,1.761738045607915
11,e527dedfec712d75834a2eacb23e51fc,2021-05-24,0.4428541548248024
12,e527dedfec712d75834a2eacb23e51fc,2021-05-31,71.18254128353412
13,e527dedfec712d75834a2eacb23e51fc,2021-06-07,71.5839217167919
14,157d57374570e571f315087d948053c5,2021-03-08,21.140290730775945
15,157d57374570e571f315087d948053c5,2021-03-15,0.0
16,157d57374570e571f315087d948053c5,2021-03-22,0.0
17,157d57374570e571f315087d948053c5,2021-03-29,0.2533634070109323
18,157d57374570e571f315087d948053c5,2021-04-05,0.0
19,157d57374570e571f315087d948053c5,2021-04-12,1.6255234882742644
20,157d57374570e571f315087d948053c5,2021-04-19,0.0
21,157d57374570e571f315087d948053c5,2021-04-26,0.0
22,157d57374570e571f315087d948053c5,2021-05-03,0.0
23,157d57374570e571f315087d948053c5,2021-05-10,0.05197214255674499
24,157d57374570e571f315087d948053c5,2021-05-17,0.0
25,157d57374570e571f315087d948053c5,2021-05-24,0.0
26,157d57374570e571f315087d948053c5,2021-05-31,0.0
27,157d57374570e571f315087d948053c5,2021-06-07,0.0
28,59e86c3431937f5a8b9b84800abd4310,2021-03-08,350.2169949647461
29,59e86c3431937f5a8b9b84800abd4310,2021-03-15,19.688575293950578
30,59e86c3431937f5a8b9b84800abd4310,2021-03-22,0.0
31,59e86c3431937f5a8b9b84800abd4310,2021-03-29,0.0
32,59e86c3431937f5a8b9b84800abd4310,2021-04-05,0.0
33,59e86c3431937f5a8b9b84800abd4310,2021-04-12,0.0
34,59e86c3431937f5a8b9b84800abd4310,2021-04-19,0.0
35,59e86c3431937f5a8b9b84800abd4310,2021-04-26,0.0
36,59e86c3431937f5a8b9b84800abd4310,2021-05-03,0.0
37,59e86c3431937f5a8b9b84800abd4310,2021-05-10,0.0
38,59e86c3431937f5a8b9b84800abd4310,2021-05-17,0.0
39,59e86c3431937f5a8b9b84800abd4310,2021-05-24,0.0
40,59e86c3431937f5a8b9b84800abd4310,2021-05-31,0.0
41,59e86c3431937f5a8b9b84800abd4310,2021-06-07,0.0
42,764d74018c52b2c3872a5a0c1fe4afa5,2021-03-08,256.9581010777415
43,764d74018c52b2c3872a5a0c1fe4afa5,2021-03-15,32.26359735960342
44,764d74018c52b2c3872a5a0c1fe4afa5,2021-03-22,117.71780409158511
45,764d74018c52b2c3872a5a0c1fe4afa5,2021-03-29,200.09244421894104
46,764d74018c52b2c3872a5a0c1fe4afa5,2021-04-05,45.16582545422823
47,764d74018c52b2c3872a5a0c1fe4afa5,2021-04-12,16.339840116180344
48,764d74018c52b2c3872a5a0c1fe4afa5,2021-04-19,13.558948765571598
49,764d74018c52b2c3872a5a0c1fe4afa5,2021-04-26,50.60751150617742
50,764d74018c52b2c3872a5a0c1fe4afa5,2021-05-03,63.37330611948989
51,764d74018c52b2c3872a5a0c1fe4afa5,2021-05-10,59.871818263396605
52,764d74018c52b2c3872a5a0c1fe4afa5,2021-05-17,183.01701496624477
53,764d74018c52b2c3872a5a0c1fe4afa5,2021-05-24,83.8463187739194
54,764d74018c52b2c3872a5a0c1fe4afa5,2021-05-31,0.0
55,764d74018c52b2c3872a5a0c1fe4afa5,2021-06-07,0.0
56,e7cef09a00d6b1fa4166b23690b0e9c8,2021-03-08,299.48022388130084
57,e7cef09a00d6b1fa4166b23690b0e9c8,2021-03-15,26.316171325513114
58,e7cef09a00d6b1fa4166b23690b0e9c8,2021-03-22,35.23235958281816
59,e7cef09a00d6b1fa4166b23690b0e9c8,2021-03-29,148.19037370228955
60,e7cef09a00d6b1fa4166b23690b0e9c8,2021-04-05,11.68314642873267
61,e7cef09a00d6b1fa4166b23690b0e9c8,2021-04-12,0.0
62,e7cef09a00d6b1fa4166b23690b0e9c8,2021-04-19,104.44614464522449
63,e7cef09a00d6b1fa4166b23690b0e9c8,2021-04-26,0.0
64,e7cef09a00d6b1fa4166b23690b0e9c8,2021-05-03,0.0
65,e7cef09a00d6b1fa4166b23690b0e9c8,2021-05-10,79.76984517482317
66,e7cef09a00d6b1fa4166b23690b0e9c8,2021-05-17,91.87563554568685
67,e7cef09a00d6b1fa4166b23690b0e9c8,2021-05-24,108.58928145688952
68,e7cef09a00d6b1fa4166b23690b0e9c8,2021-05-31,137.14484509631893
69,e7cef09a00d6b1fa4166b23690b0e9c8,2021-06-07,69.94170847004746
70,c236bd9436d0f579ee5423fb8164b1ed,2021-03-08,879.7213605239298
71,c236bd9436d0f579ee5423fb8164b1ed,2021-03-15,202.25821011333454
72,c236bd9436d0f579ee5423fb8164b1ed,2021-03-22,227.10344540081394
73,c236bd9436d0f579ee5423fb8164b1ed,2021-03-29,456.90500895347253
74,c236bd9436d0f579ee5423fb8164b1ed,2021-04-05,35.24516920172158
75,c236bd9436d0f579ee5423fb8164b1ed,2021-04-12,0.0
76,c236bd9436d0f579ee5423fb8164b1ed,2021-04-19,66.59393087427972
77,c236bd9436d0f579ee5423fb8164b1ed,2021-04-26,454.168936037779
78,c236bd9436d0f579ee5423fb8164b1ed,2021-05-03,53.82763819209358
79,c236bd9436d0f579ee5423fb8164b1ed,2021-05-10,723.8202509468623
80,c236bd9436d0f579ee5423fb8164b1ed,2021-05-17,23.355579932291842
81,c236bd9436d0f579ee5423fb8164b1ed,2021-05-24,33.92875170064716
82,c236bd9436d0f579ee5423fb8164b1ed,2021-05-31,0.0
83,c236bd9436d0f579ee5423fb8164b1ed,2021-06-07,0.0
84,2318287de787ae3132ab0f19f36e6867,2021-03-08,35.49479813394785
85,2318287de787ae3132ab0f19f36e6867,2021-03-15,0.2132154375137727
86,2318287de787ae3132ab0f19f36e6867,2021-03-22,3.956113557985099
87,2318287de787ae3132ab0f19f36e6867,2021-03-29,1.8942761304872475
88,2318287de787ae3132ab0f19f36e6867,2021-04-05,2.6749914688286403
89,2318287de787ae3132ab0f19f36e6867,2021-04-12,0.0892664433764594
90,2318287de787ae3132ab0f19f36e6867,2021-04-19,0.0
91,2318287de787ae3132ab0f19f36e6867,2021-04-26,111.48503688183635
92,2318287de787ae3132ab0f19f36e6867,2021-05-03,3.4695839193029556
93,2318287de787ae3132ab0f19f36e6867,2021-05-10,0.0
94,2318287de787ae3132ab0f19f36e6867,2021-05-17,0.0
95,2318287de787ae3132ab0f19f36e6867,2021-05-24,0.0
96,2318287de787ae3132ab0f19f36e6867,2021-05-31,0.0
97,2318287de787ae3132ab0f19f36e6867,2021-06-07,0.0
98,8302fd867d8d2317a4fad89a95e07c25,2021-03-08,53.14719456827953
99,8302fd867d8d2317a4fad89a95e07c25,2021-03-15,0.0
100,8302fd867d8d2317a4fad89a95e07c25,2021-03-22,0.0
101,8302fd867d8d2317a4fad89a95e07c25,2021-03-29,0.9781224308148326
102,8302fd867d8d2317a4fad89a95e07c25,2021-04-05,4.999200046987832
103,8302fd867d8d2317a4fad89a95e07c25,2021-04-12,6.8848000118737165
104,8302fd867d8d2317a4fad89a95e07c25,2021-04-19,0.0
105,8302fd867d8d2317a4fad89a95e07c25,2021-04-26,89.08974020496265
106,8302fd867d8d2317a4fad89a95e07c25,2021-05-03,0.0
107,8302fd867d8d2317a4fad89a95e07c25,2021-05-10,0.0
108,8302fd867d8d2317a4fad89a95e07c25,2021-05-17,0.0
109,8302fd867d8d2317a4fad89a95e07c25,2021-05-24,0.0
110,8302fd867d8d2317a4fad89a95e07c25,2021-05-31,0.0
111,8302fd867d8d2317a4fad89a95e07c25,2021-06-07,0.0
112,ef46d27b122ee0036a901b2c00837e51,2021-03-08,136.3890441921943
113,ef46d27b122ee0036a901b2c00837e51,2021-03-15,16.62966862709895
114,ef46d27b122ee0036a901b2c00837e51,2021-03-22,0.0
115,ef46d27b122ee0036a901b2c00837e51,2021-03-29,0.0
116,ef46d27b122ee0036a901b2c00837e51,2021-04-05,0.0
117,ef46d27b122ee0036a901b2c00837e51,2021-04-12,27.90994250026391
118,ef46d27b122ee0036a901b2c00837e51,2021-04-19,17.835884234601572
119,ef46d27b122ee0036a901b2c00837e51,2021-04-26,3.0096208399567317
120,ef46d27b122ee0036a901b2c00837e51,2021-05-03,11.314788939788428
121,ef46d27b122ee0036a901b2c00837e51,2021-05-10,0.0
122,ef46d27b122ee0036a901b2c00837e51,2021-05-17,0.0
123,ef46d27b122ee0036a901b2c00837e51,2021-05-24,122.51912839531757
124,ef46d27b122ee0036a901b2c00837e51,2021-05-31,43.32821116985655
125,ef46d27b122ee0036a901b2c00837e51,2021-06-07,0.0
126,7d9f0d14c4d5002143ef75e2b2052645,2021-03-08,329.6356301898399
127,7d9f0d14c4d5002143ef75e2b2052645,2021-03-15,0.0
128,7d9f0d14c4d5002143ef75e2b2052645,2021-03-22,0.0
129,7d9f0d14c4d5002143ef75e2b2052645,2021-03-29,14.30846148702625
130,7d9f0d14c4d5002143ef75e2b2052645,2021-04-05,0.0
131,7d9f0d14c4d5002143ef75e2b2052645,2021-04-12,300.126845395946
132,7d9f0d14c4d5002143ef75e2b2052645,2021-04-19,0.0
133,7d9f0d14c4d5002143ef75e2b2052645,2021-04-26,0.0
134,7d9f0d14c4d5002143ef75e2b2052645,2021-05-03,0.0
